Confirmed,Active,Recovered,Deaths,DaysSinceStart
5122.513409961686,3782.1877394636017,1037.5938697318009,302.7318007662835,75.0
5417.045977011494,3958.885057471264,1125.1532567049808,333.00766283524905,76.0
5738.022988505747,4145.429118773946,1233.7816091954023,358.81226053639847,77.0
6069.919540229885,4354.869731800766,1327.007662835249,388.04214559386975,78.0
6405.773946360153,4581.911877394636,1407.9578544061303,415.90421455938696,79.0
6700.659003831418,4755.789272030652,1505.712643678161,439.1570881226054,80.0
7071.467432950191,5032.3295019157085,1578.0229885057472,461.11494252873564,81.0
7338.111111111111,5175.302681992337,1679.6743295019157,483.13409961685824,82.0
7606.030651340996,5322.467432950191,1774.0,509.5632183908046,83.0
7915.72030651341,5462.72030651341,1911.5900383141764,541.4099616858238,84.0
8286.264367816091,5690.072796934866,2026.8773946360154,569.3141762452108,85.0
